YearMonth,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,London Heathrow and London City Airports,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
2010,14454.0,18937.0,10526.0,21867.0,16314.0,25107.0,24180.0,26076.0,17358.0,18175.0,21032.0,17883.0,18559.0,11369.0,12812.0,17449.0,17620.0,20834.0,16088.0,8459.0,26725.0,21314.0,2228.0,10828.0,26040.0,17506.0,8662.0,27697.0,9420.0,21509.0,20732.0,19106.0,47509.0
2011,18533.0,26174.0,12283.0,30556.0,22007.0,35889.0,32253.0,32404.0,23373.0,22468.0,27500.0,23234.0,25214.0,13885.0,17233.0,23889.0,23736.0,27267.0,20410.0,11020.0,36732.0,27558.0,3111.0,14309.0,31402.0,24324.0,11824.0,34769.0,11794.0,29138.0,25482.0,23156.0,65853.0
2012,17297.0,25595.0,12333.0,28287.0,20586.0,33520.0,32351.0,30841.0,22608.0,21355.0,28499.0,22267.0,24722.0,13768.0,16742.0,21479.0,23652.0,27874.0,21304.0,10558.0,35833.0,25211.0,2654.0,13628.0,32558.0,22691.0,11834.0,32704.0,11450.0,29495.0,24300.0,25990.0,63404.0
2013,16500.0,23163.0,11896.0,24457.0,19422.0,29218.0,28381.0,26645.0,22266.0,19664.0,26249.0,19160.0,21440.0,12401.0,15402.0,19028.0,19901.0,24593.0,18380.0,9446.0,32987.0,22804.0,2511.0,11959.0,28522.0,20345.0,10700.0,32226.0,10345.0,27449.0,22512.0,23016.0,55596.0
2014,16210.0,23000.0,12187.0,25103.0,20152.0,27880.0,28321.0,25647.0,22370.0,20554.0,25167.0,19602.0,23522.0,12279.0,15296.0,21579.0,20286.0,25614.0,18431.0,9558.0,33026.0,21791.0,3049.0,11891.0,28765.0,20234.0,10699.0,29838.0,10775.0,26642.0,20799.0,21950.0,49146.0
2015,17167.0,24584.0,12335.0,25579.0,21055.0,30292.0,29290.0,26946.0,22812.0,21580.0,27256.0,20385.0,25442.0,12970.0,16343.0,21932.0,21753.0,28127.0,19665.0,10066.0,34484.0,24235.0,2996.0,12641.0,30207.0,19524.0,10716.0,31164.0,10855.0,28527.0,21573.0,23179.0,48983.0
2016,17753.0,25678.0,13399.0,27618.0,20692.0,30129.0,30203.0,27966.0,23297.0,23500.0,29139.0,20793.0,28203.0,13597.0,17459.0,22703.0,22854.0,27814.0,20228.0,10339.0,35481.0,24896.0,3235.0,13201.0,31180.0,20184.0,11432.0,32528.0,11014.0,30650.0,21425.0,24669.0,50132.0
2017,18670.0,26957.0,14804.0,29707.0,22751.0,37891.0,30539.0,28306.0,25192.0,25480.0,31797.0,21664.0,30308.0,13939.0,18922.0,24728.0,24831.0,32166.0,21482.0,11468.0,34923.0,25071.0,3623.0,13788.0,34513.0,23430.0,13222.0,34079.0,12034.0,31977.0,22768.0,25292.0,57050.0
2018,18308.0,28263.0,15369.0,30778.0,23187.0,35605.0,31017.0,28291.0,27998.0,25681.0,31244.0,22059.0,31031.0,14888.0,18683.0,25029.0,25454.0,28770.0,22050.0,12372.0,35057.0,26080.0,3333.0,13810.0,36008.0,23551.0,12706.0,35708.0,12078.0,33640.0,23677.0,25837.0,63026.0
2019,20201.0,31577.0,18062.0,30449.0,25176.0,39786.0,33854.0,31821.0,30586.0,28861.0,34458.0,23794.0,32475.0,17368.0,19185.0,27442.0,26978.0,30379.0,25232.0,13220.0,36246.0,29167.0,3558.0,14507.0,36277.0,24163.0,12924.0,40090.0,13948.0,35367.0,24216.0,26351.0,82898.0
2020,19185.0,27388.0,15601.0,28798.0,22015.0,29574.0,33310.0,29361.0,28862.0,25749.0,30718.0,19018.0,28855.0,15861.0,16830.0,24953.0,24315.0,25456.0,17935.0,11353.0,31014.0,27578.0,1571.0,13588.0,33219.0,23146.0,12275.0,32245.0,13059.0,31615.0,23559.0,24918.0,48558.0
2021,14610.0,20234.0,10869.0,20789.0,16204.0,19978.0,24277.0,21460.0,21321.0,19797.0,22309.0,14885.0,21530.0,11423.0,12525.0,17078.0,17464.0,17903.0,13008.0,8472.0,23735.0,19729.0,957.0,9589.0,24588.0,17683.0,8250.0,23500.0,9292.0,24402.0,16665.0,18828.0,32826.0
